"name","state","year_group"
"A AND M COLLEGE","MS",""
"A. B. C.","TN","1900"
"AARON","MO","1900"
"AARON","TN",""
"AARON","TN",""
"AARON","GA",""
"AARON","GA","1900"
"AARON","SC",""
NA,NA,""
"AARONSBURGH","NY",""
"ABAC","GA",""
"ABADYL","MO","1900"
"ABALINE","AL","1900"
"ABATTIS","MO","1900"
"ABAUGH","AR","1950"
NA,NA,""
"ABBA","AL",""
"ABBA","GA","1900"
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
"ABBEY","AL","1900"
"ABBEY","NY",""
"ABBIE JOE","LA",""
NA,NA,""
"ABBOT","ME","1850"
"ABBOTSFORD","NY",""
"ABBOTT","LA","1900"
"ABBOTT","MO","1900"
"ABBOTT","TN",""
"ABBOTT","AL","1900"
"ABBOTT","AR","1900"
"ABBOTT","FL","1900"
"ABBOTT","MS","1900"
"ABBOTT RUN","RI","1900"
"ABBOTTS","NY","1900"
"ABBOTT'S CORNERS","NY",""
"ABBOTT'S MILLS","TN",""
"ABBOTTSFORD","GA",""
NA,NA,""
"ABDERA","PA","1900"
"ABEDA","AL",""
"ABEL","TN",""
"ABEL","AL","1900"
"ABEL","GA","1900"
"ABEL","MS","1900"
"ABEL","SC",""
"ABELLS","MO",""
"ABEL'S CREEK","AR",""
"ABERCROMBIE","AL","1900"
"ABERDEEN","MO","1900"
"ABERDEEN","AR",""
"ABERDEEN","FL","1900"
"ABERDEEN","GA",""
"ABERDEEN","GA",""
NA,NA,""
"ABERDEEN","PA",""
"ABERDEEN","PA","1900"
"ABERDEEN JUNCTION","MS",""
"ABERFOIL","AL","1850"
NA,NA,""
"ABERNATHEY","GA","1900"
"ABERNATHY","MO","1850"
"ABERNATHY","TN",""
"ABERNATHY","AL","1900"
"ABERT","GA","1900"
"ABE'S SPRINGS","FL","1850"
"ABESVILLE","MO",""
"ABIFF","TN","1900"
"ABILENE","AR","1900"
"ABILENE","GA","1900"
NA,NA,""
"ABINGDON","SC","1900"
"ABINGDON SOCIETY","CT",""
"ABINGTON","LA",""
"ABINGTON","MA","1850"
"ABINGTON","PA",""
NA,NA,""
"ABINGTON CENTRE","PA","1850"
NA,NA,""
"ABLOW","MS","1900"
"ABNER","AL","1900"
"ABNER","AR",""
"ABNER","GA",""
"ABNER","MS",""
"ABNEY","AR",""
"ABNEY","MS","1900"
"ABNEY","SC","1900"
"ABO","MO","1900"
